Contestant,Season,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
Kellee Kim-1,S39,1,1,1,5,1,
Vince Moua,S39,1,1,0,0,0,
Jamal Shipman,S39,1,1,1,0,0,
Dean Kowalski,S39,0,1,,,,
Kellee Kim-2,S39,1,1,0,,,
Kellee Kim-3,S39,1,1,0,,,
Janet Carbin-1,S39,1,1,1,2,0,
Karishma Patel,S39,1,1,1,7,1,
Lauren Beck,S39,1,1,1,0,0,
Elaine Stott,S39,1,1,1,0,0,
Janet Carbin-2,S39,1,1,1,0,0,
Dean Kowalski,S39,1,1,0,,,
Sandra Diaz-Twine*,S40,1,1,,,,
Denise Stapley-1,S40,1,1,1,0,0,
Kim Spradlin,S40,1,1,1,2,0,
Sophie Clarke,S40,1,1,,,,
Denise Stapley-2*,S40,,1,1,4,1,
Michele Fitzgerald*,S40,1,1,1,2,,
Tony Vlachos,S40,1,1,,,,
Ben Driebergen,S40,1,1,,,,
