,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
387,Stephen Fishbach,1.84,7.93,0.23,2,4,4,61,7,0.56,2.0,10,0.79,3.84,29,3,1.0,1.0,5,0,6.0,1.0,31,5.0,1.0,6,4.0,11.0,5.0,0.5,0,36,New York,0,390,0,31.0,1,Corporate Consultant,0.0,0.0,0.0,0.0,0.0,0.0
388,Kimmi Kappenberg,0.8,12.93,0.06,1,5,2,82,9,0.55,2.59,10,0.62,3.4,36,4,3.0,0.0,8,0,11.0,0.0,31,5.0,1.0,6,4.0,11.0,5.0,0.5,0,42,Texas,0,391,0,31.0,0,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
389,Andrew Savage,1.23,4.03,0.3,0,3,4,43,5,0.58,2.1,10,0.89,3.33,21,2,0.5,0.5,2,0,2.5,0.5,31,3.0,1.0,6,3.0,9.0,4.0,0.5,0,51,California,0,392,0,31.0,1,Attorney,0.0,0.0,0.0,0.0,0.0,0.0
390,Tasha Fox,1.13,14.93,0.08,1,7,5,96,12,0.58,1.81,10,0.65,2.94,39,5,3.0,0.0,10,0,13.0,0.0,31,5.0,2.0,6,4.0,11.0,6.0,0.591,0,39,Missouri,0,393,0,31.0,0,Accountant,0.0,0.0,0.0,0.0,0.0,0.0
391,Jeff Varner,0.0,0.58,0.0,0,3,4,30,4,0.72,2.63,10,0.72,2.63,11,1,0.0,0.0,0,0,0.0,0.0,31,0.0,0.0,4,0.0,4.0,0.0,0.0,0,49,North Carolina,0,394,0,31.0,1,Internet Projects Manager,0.0,0.0,0.0,0.0,0.0,0.0
392,Ciera Eastin,1.23,5.93,0.21,4,3,10,53,5,0.56,1.2,10,0.77,2.43,26,2,0.0,0.0,4,0,4.0,0.0,31,5.0,5.0,6,2.0,11.0,7.0,0.636,0,26,Oregon,0,395,0,31.0,0,Cosmetology Student,0.0,0.0,0.0,0.0,0.0,0.0
393,Peih-Gee Law,0.0,0.38,0.0,0,2,4,25,3,0.61,2.33,10,0.61,2.33,9,1,0.0,0.0,0,0,0.0,0.0,31,0.0,0.0,3,0.0,3.0,0.0,0.0,0,37,California,0,396,0,31.0,0,Jeweler,0.0,0.0,0.0,0.0,0.0,0.0
394,Kass McQuillen,0.75,2.36,0.32,1,1,6,20,2,0.35,1.4,10,0.67,2.15,19,1,0.0,0.0,1,0,1.0,0.0,31,2.0,1.0,6,3.0,8.0,4.0,0.625,0,42,California,0,397,0,31.0,0,Attorney,0.0,0.0,0.0,0.0,0.0,0.0
395,Woo Hwang,0.52,1.36,0.38,0,2,5,37,5,0.37,1.24,10,0.75,1.76,16,3,0.0,0.0,0,0,0.0,0.0,31,2.0,1.0,6,1.0,8.0,2.0,0.313,0,31,California,0,398,0,31.0,1,Martial Arts Instructor,0.0,0.0,0.0,0.0,0.0,0.0
396,Abi-Maria Gomes,0.72,11.93,0.06,2,8,14,107,12,0.66,1.04,10,0.72,1.75,35,4,3.0,0.0,7,0,10.0,0.0,31,5.0,2.0,6,1.0,11.0,3.0,0.318,0,35,California,0,399,0,31.0,0,Business Student,0.0,0.0,0.0,0.0,0.0,0.0
