Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Brad Culpepper,0.25,1.55,0.16,0,4,4,40,5,0.78,2.8,3,0,8,0,0.94,3.05,14.5,15,1,0,0,0,0,0,0,27,0,0,4,0,4,0,0,4
Vytas Baskauskas,1.7,4.11,0.41,0,6,10,72,9,0.65,1.33,6,0,8,0,1.06,3.03,27.5,10,3,0,0,2,1,2,1,27,0,0,7,1,7,1,0.142857143,5
Tina Wesson,1.88,8.61,0.22,1,5,10,68,9,0.54,1.11,6,0,8,0,0.76,2.99,38.5,4,4,0,0,5,0,5,0,27,0,0,7,3,7,3,0.428571429,12
Hayden Moss,0.57,8.61,0.07,0,8,6,96,12,0.66,1.87,9,0,8,0,0.73,2.43,36.5,7,4,0,0,7,0,7,0,27,0,0,7,3,7,3,0.428571429,1
Ciera Eastin,1.37,9.11,0.15,0,8,13,101,13,0.61,1.01,6,0,8,0,0.76,2.38,37.5,5,5,0,0,8,1,8,1,27,0,0,7,2,7,2,0.285714286,0
Kat Edorsson,0.25,1.41,0.18,2,2,5,24,3,0.6,2.07,2,0,8,0,0.78,2.33,17.5,14,1,0,0,0,0,0,0,27,0,0,6,2,6,2,0.333333333,1
Aras Baskauskas,0.91,2.61,0.35,0,1,7,29,3,0.25,0.85,2,0,8,0,0.6,1.76,25.5,11,2,0,0,1,0,1,0,27,0,0,7,6,7,6,0.857142857,4
Laura Boneham,0.55,2.11,0.26,1,2,11,29,4,0.41,0.93,1,0,8,0,0.66,1.48,19.5,12,2,0,0,0,0,0,0,27,0,0,7,4,7,4,0.571428571,1
Colton Cumbie*,0.24,0.24,1,0,1,0,10,1,0.26,1.08,1,0,8,0,1.26,1.31,7.5,19,0,0,0,0,0,0,0,27,0,0,2,2,2,2,1,0
Candice Cody,1.25,2,0.63,0,0,6,10,1,-0.6,0,0,0,8,0,0.03,1.25,11.5,16,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,10
Rachel Foulger,0,0.74,0,0,1,5,27,3,0.27,1.04,2,0,8,0,0.27,1.04,7.5,18,2,0,0,0,0,0,0,27,0,0,2,0,2,0,0,1
Marissa Peterson,0.5,1.61,0.31,0,0,10,19,2,-0.26,0,0,0,8,0,0.05,0.5,9.5,17,2,0,0,0,0,0,0,27,0,0,1,0,1,0,0,6
Rupert Boneham,0,0.5,0,0,0,0,10,1,0,0,1,0,8,0,0,0,4.5,20,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4
Natalie Anderson,3.07,13.82,0.22,0,7,0,69,9,0.78,5.44,9,5,8,0.625,1.62,12.27,39.5,1,2,3,1,9,1,12,2,29,4,2,6,5,10,7,0.7,3
Jaclyn Schultz,1.42,14.36,0.1,0,9,2,97,13,0.69,3.23,10,2,8,0.25,1.04,6.15,39.5,2,4,3,0,9,1,12,1,29,4,1,6,1,10,2,0.2,2
Keith Nale,4.77,14.32,0.33,2,4,13,82,11,0.35,0.6,4,0,8,0,0.68,5.37,38.5,4,7,3,1,9,3,12,4,29,4,2,6,2,10,4,0.4,3
Jon Misch,2.44,11.32,0.22,1,5,2,73,9,0.55,2.59,7,0,8,0,0.77,5.04,35.5,6,4,2,0,7,1,9,1,29,4,2,6,3,10,5,0.5,4
Jeremy Collins,2.57,4.74,0.54,1,2,5,30,3,0.61,2.07,2,0,8,0,1.15,4.64,24.5,10,1,0,0,3,1,3,1,29,2,2,6,5,8,7,0.875,3
Missy Payne,0.69,13.82,0.05,4,7,3,82,11,0.63,2.55,8,1,8,0.125,0.81,3.99,39.5,3,4,3,0,9,0,12,0,29,4,1,6,3,10,4,0.4,0
Wes Nale,1.18,6.03,0.2,0,3,2,54,6,0.49,2.33,4,0,8,0,0.69,3.51,26.5,9,3,0,0,4,0,4,0,29,3,1,6,3,9,4,0.444444444,1
Reed Kelly,2.82,7.99,0.35,0,1,10,47,5,0.16,0.4,3,0,8,0,0.51,3.22,29.5,8,4,1,0,5,1,6,1,29,3,3,6,5,9,8,0.888888889,0
Alec Christy,0.93,9.53,0.1,0,4,4,69,8,0.49,1.75,6,0,8,0,0.59,2.68,32.5,7,4,2,0,6,0,8,0,29,3,2,6,3,9,5,0.555555556,2
Baylor Wilson,1.37,13.36,0.1,0,8,16,93,12,0.65,0.93,6,0,8,0,0.75,2.3,37.5,5,4,3,0,8,1,11,1,29,4,1,6,1,10,2,0.2,1
Kelley Wentworth,0.36,0.67,0.54,1,1,4,16,2,0.38,1.75,0,0,8,0,0.91,2.11,13.5,14,1,0,0,0,0,0,0,29,0,0,5,3,5,3,0.6,0
Josh Canfield,0.48,3.08,0.15,0,2,6,35,4,0.46,1.4,2,0,8,0,0.61,1.88,21.5,11,2,0,0,2,0,2,0,29,1,0,6,3,7,3,0.428571429,1
Julie McGee*,0.88,2.34,0.38,2,1,2,9,1,0.17,0.78,0,0,8,0,0.54,1.66,18.5,12,0,0,0,1,0,1,0,29,0,0,6,3,6,3,0.5,0
John Rocker,0,0.9,0,0,1,5,24,3,0.26,1.04,2,0,8,0,0.26,1.04,8.5,16,2,0,0,0,0,0,0,29,0,0,3,0,3,0,0,1
Dale Wentworth,0.17,0.88,0.19,1,1,8,37,5,0.16,0.47,1,0,8,0,0.35,0.63,15.5,13,4,0,0,0,0,0,0,29,0,0,6,1,6,1,0.166666667,0
Drew Christy,0.36,0.53,0.68,0,0,5,9,1,-0.56,0,0,0,8,0,0.13,0.36,10.5,15,1,0,0,0,0,0,0,29,0,0,4,3,4,3,0.75,1
Nadiya Anderson,0,0.11,0,0,0,5,9,1,-0.56,0,0,0,8,0,-0.56,0,3.5,18,1,0,0,0,0,0,0,29,0,0,1,0,1,0,0,0
Val Collins,0,0.74,0,0,0,4,17,2,-0.12,0,1,0,8,0,-0.12,0,6.5,17,2,0,0,0,0,0,0,29,0,0,2,0,2,0,0,2
Jeremy Collins,1.64,15.43,0.11,2,7,0,91,11,0.64,4.45,9,10,10,1,1.74,12.09,39,1,4,3.5,0,10,1,13.5,1,31,5,0,6,4,11,4,0.409,0
Joe Anglim,5.56,9.93,0.56,0,0,8,63,5,-0.03,0,3,0,10,0,0.53,5.56,32,8,5,2,0,6,4,8,4,31,5,4,6,4,11,8,0.818,0
Kelley Wentworth,3.83,14.93,0.26,2,6,5,104,12,0.5,1.56,7,0,10,0,0.75,5.38,38,4,6,3,1,10,2,13,3,31,5,2,6,2,11,4,0.409,0
Spencer Bledsoe,3.95,14.93,0.26,1,9,11,117,14,0.64,1.2,7,0,10,0,0.9,5.03,39,2,5,3,0,10,3,13,3,31,5,3,6,1,11,4,0.409,0
Keith Nale,3.16,13.93,0.23,0,2,4,81,9,0.22,0.78,6,0,10,0,0.44,3.94,37,5,7,3,1,9,1,12,2,31,5,2,6,4,11,6,0.636,0
Stephen Fishbach,1.84,7.93,0.23,2,4,4,61,7,0.56,2,4,0,10,0,0.79,3.84,29,9,3,1,1,5,0,6,1,31,5,1,6,4,11,5,0.5,0
Kimmi Kappenberg,0.8,12.93,0.06,1,5,2,82,9,0.55,2.59,8,0,10,0,0.62,3.4,36,6,4,3,0,8,0,11,0,31,5,1,6,4,11,5,0.5,0
Andrew Savage,1.23,4.03,0.3,0,3,4,43,5,0.58,2.1,3,0,10,0,0.89,3.33,21,12,2,0.5,0.5,2,0,2.5,0.5,31,3,1,6,3,9,4,0.5,0
Tasha Fox,1.13,14.93,0.08,1,7,5,96,12,0.58,1.81,8,0,10,0,0.65,2.94,39,2,5,3,0,10,0,13,0,31,5,2,6,4,11,6,0.591,0
Jeff Varner,0,0.58,0,0,3,4,30,4,0.72,2.63,3,0,10,0,0.72,2.63,11,17,1,0,0,0,0,0,0,31,0,0,4,0,4,0,0,0
Ciera Eastin,1.23,5.93,0.21,4,3,10,53,5,0.56,1.2,2,0,10,0,0.77,2.43,26,10,2,0,0,4,0,4,0,31,5,5,6,2,11,7,0.636,0
Peih-Gee Law,0,0.38,0,0,2,4,25,3,0.61,2.33,2,0,10,0,0.61,2.33,9,18,1,0,0,0,0,0,0,31,0,0,3,0,3,0,0,0
Kass McQuillen,0.75,2.36,0.32,1,1,6,20,2,0.35,1.4,1,0,10,0,0.67,2.15,19,13,1,0,0,1,0,1,0,31,2,1,6,3,8,4,0.625,0
Woo Hwang,0.52,1.36,0.38,0,2,5,37,5,0.37,1.24,3,0,10,0,0.75,1.76,16,14,3,0,0,0,0,0,0,31,2,1,6,1,8,2,0.313,0
Abi-Maria Gomes,0.72,11.93,0.06,2,8,14,107,12,0.66,1.04,6,0,10,0,0.72,1.75,35,7,4,3,0,7,0,10,0,31,5,2,6,1,11,3,0.318,0
Shirin Oskooi,0,0.21,0,0,1,5,19,2,0.37,1.56,1,0,10,0,0.37,1.56,6,19,1,0,0,0,0,0,0,31,0,0,2,0,2,0,0,0
Kelly Wiglesworth,0.72,4.73,0.15,1,1,8,68,7,0.13,0.33,5,0,10,0,0.28,1.05,24,11,6,0,0,3,0,3,0,31,4,2,6,1,10,3,0.35,0
Terry Deitz,0.52,1.58,0.33,1,0,0,19,2,-0.08,0,2,0,10,0,0.25,0.64,13,15,2,0.5,0.25,0,0,0.5,0.25,31,1,0,5,1,6,1,0.333,0
Monica Padilla,0.29,1.08,0.27,2,0,3,6,1,-0.5,0,1,0,10,0,-0.23,0.29,15,16,1,0,0,0,0,0,0,31,1,0,5,2,6,2,0.417,0
Vytas Baskauskas,0,0.1,0,0,0,6,10,1,-0.6,0,0,0,10,0,-0.6,0,3,20,1,0,0,0,0,0,0,31,0,0,1,0,1,0,0,0
Brad Culpepper,6.56,12.81,0.51,0,8,2,103,12,0.67,3.11,5,3,10,0.3,1.48,11.47,39,2,4,0.5,0.25,10,5,10.5,5.25,34,6,3,7,5,13,8,0.615,0
Sarah Lacina,1.14,12.31,0.09,0,11,0,99,13,0.85,5.92,6,7,10,0.7,1.64,11.26,39,1,2,0,0,10,0,10,0,34,6,3,7,3,13,6,0.538,0
Andrea Boehlke,3.84,8.31,0.46,0,5,14,77,8,0.6,0.97,5,0,10,0,1.06,4.81,33,8,3,0,0,6,2,6,2,34,6,6,7,3,13,9,0.769,0
Troyzan Robertson,1.64,12.81,0.13,2,8,2,105,12,0.67,3.11,6,0,10,0,0.79,4.75,39,3,4,0.5,0,10,1,10.5,1,34,6,1,7,2,13,3,0.308,0
Cirie Fields,0.87,10.31,0.08,2,4,0,77,8,0.5,3.5,4,0,10,0,0.58,4.37,36,6,4,0,0,8,0,8,0,34,6,1,7,4,13,5,0.423,0
Aubry Bracco,2.29,11.31,0.2,0,6,8,117,13,0.46,1.08,5,0,10,0,0.66,3.36,37,5,7,0,0,9,1,9,1,34,6,3,7,3,13,6,0.5,0
Debbie Wanner,0.92,4.63,0.2,0,6,6,60,7,0.84,2.4,4,0,10,0,1.04,3.32,26,11,1,0,0,3,0,3,0,34,4,3,6,3,10,6,0.6,0
Tai Trang,1.85,12.81,0.14,0,9,10,109,13,0.69,1.38,5,0,10,0,0.83,3.23,38,4,4,0.5,0.25,10,1,10.5,1.25,34,6,2,7,3,13,5,0.385,0
Ozzy Lusth,1.1,4.07,0.27,0,3,7,39,4,0.71,1.91,3,0,10,0,0.98,3.01,24,12,1,0.5,0,2,0,2.5,0,34,3,3,7,3,10,6,0.7,0
Malcolm Freberg,0.42,1.08,0.39,0,2,5,30,3,0.61,2.07,2,0,10,0,1,2.49,11,17,1,0.5,0.5,0,0,0.5,0.5,34,0,0,4,1,4,1,0.25,0
Hali Ford,0.49,2.41,0.2,0,4,8,49,5,0.77,1.87,2,0,10,0,0.97,2.35,21,13,1,0,0,1,0,1,0,34,2,0,7,3,9,3,0.333,0
Zeke Smith,1.3,5.97,0.22,0,3,11,60,6,0.47,0.93,3,0,10,0,0.69,2.24,29,10,3,0,0,4,0,4,0,34,5,4,7,3,12,7,0.667,0
Sierra Thomas,0.9,7.31,0.12,0,4,9,73,7,0.55,1.23,3,0,10,0,0.68,2.13,32,9,3,0,0,5,0,5,0,34,6,1,7,5,13,6,0.462,0
Caleb Reynolds,0,0.38,0,0,2,5,25,3,0.6,2.07,2,0,10,0,0.6,2.07,9,18,1,0,0,0,0,0,0,34,0,0,3,0,3,0,0,0
Jeff Varner,0.41,1.41,0.29,0,3,6,48,6,0.48,1.4,4,0,10,0,0.77,1.81,18,14,3,0,0,0,0,0,0,34,2,1,7,1,9,2,0.278,0
Michaela Bradshaw,0.55,9.31,0.06,1,7,11,106,11,0.63,1.19,4,0,10,0,0.69,1.74,35,7,4,0,0,7,0,7,0,34,6,0,7,3,13,3,0.269,0
Sandra Diaz-Twine,0.27,1.12,0.24,1,2,5,42,5,0.38,1.24,3,0,10,0,0.61,1.51,16,15,3,0,0,0,0,0,0,34,1,0,6,1,7,1,0.214,0
Tony Vlachos,0,0.21,0,0,1,7,19,2,0.32,1.27,1,0,10,0,0.32,1.27,6,19,1,0,0,0,0,0,0,34,0,0,2,0,2,0,0,0
J.T. Thomas,0.73,1.48,0.49,0,0,3,16,2,-0.09,0,0,0,10,0,0.4,0.73,13,16,2,0.5,0.5,0,0,0.5,0.5,34,1,0,5,3,6,3,0.583,0
Ciera Eastin,0,0.1,0,0,0,9,10,1,-0.9,0,0,0,10,0,-0.9,0,3,20,1,0,0,0,0,0,0,34,0,0,1,0,1,0,0,0
