Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Jerri Manthey,3,11.56,0.26,2,9,4,89,12,0.75,2.63,9,0,9,0,1.01,5.63,38,4,3,1,1,8,1,9,2,20,7,3,8,4,15,7,0.466666667,0
Russell Hantz,2.68,11.56,0.23,2,11,5,89,12,0.91,2.85,10,0,9,0,1.14,5.53,39,3,1,1,0,8,2,9,2,20,7,2,8,3,15,5,0.333333333,0
Danielle DiLorenzo,2.19,7.56,0.29,3,7,4,74,9,0.77,2.72,7,0,9,0,1.06,4.92,33,7,2,0,0,5,1,5,1,20,7,4,8,3,15,7,0.466666667,0
Candice Woodcock,2.23,7.56,0.29,0,5,5,67,8,0.62,1.94,7,0,9,0,0.91,4.17,31,8,3,0.5,0,4,1,4.5,1,20,7,3,8,4,15,7,0.466666667,0
Boston Rob Mariano,2.8,3.43,0.82,0,1,5,27,3,0.27,1.04,1,0,9,0,1.09,3.84,18,13,2,0.5,0.5,1,1,1.5,1.5,20,4,2,6,4,10,6,0.6,0
J.T. Thomas,1.23,4.23,0.29,0,5,5,50,6,0.82,2.59,5,0,9,0,1.11,3.82,27,10,1,0,0,2,0,2,0,20,6,3,8,4,14,7,0.5,0
Cirie Fields,0.23,0.72,0.31,1,2,3,27,3,0.63,2.67,2,0,9,0,0.94,2.89,11,17,1,0,0,0,0,0,0,20,2,1,4,1,6,2,0.333333333,0
Colby Donaldson,1.56,10.56,0.15,1,5,7,85,11,0.45,1.16,8,0,9,0,0.59,2.72,37,5,6,1,0,7,0,8,0,20,7,4,8,4,15,8,0.533333333,0
Amanda Kimmel,1.56,5.56,0.28,0,4,10,59,7,0.55,1.14,4,0,9,0,0.83,2.7,30,9,3,0,0,3,0,3,0,20,7,4,8,4,15,8,0.533333333,0
Tyson Apostol,0.66,2.03,0.33,1,1,3,19,2,0.42,2,1,0,9,0,0.75,2.66,15,15,1,0,0,1,0,1,0,20,3,2,5,3,8,5,0.625,0
