Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Patrick Bolton,0.08,0.73,0.11,0,1,5,11,2,0.27,1.56,0,0,8,0,0.39,1.64,8,16,1,0,0,0,0,0,0,35,1,0,3,0,4,0,0.125,0
Roark Luskin,0.73,1.63,0.45,0,0,3,5,1,-0.6,0,0,0,8,0,-0.15,0.73,14,14,1,0,0,0,0,0,0,35,3,1,5,2,8,3,0.5,0
Katrina Radke,0.08,0.33,0.25,0,0,5,6,1,-0.83,0,0,0,8,0,-0.58,0.08,3,18,1,0,0,0,0,0,0,35,1,0,1,0,2,0,0.25,0
Simone Nguyen,0.08,0.53,0.16,0,0,5,6,1,-0.83,0,0,0,8,0,-0.68,0.08,6,17,1,0,0,0,0,0,0,35,1,0,2,0,3,0,0.167,0
Wendell Holland,3.95,12.39,0.32,0,7,5,75,9,0.77,2.42,0,6,11,0.545454546,1.63,9.65,39,1,2,1,0,9,2,10,2,36,6,4,7,6,13,10,0.808,1
Laurel Johnson,2.45,12.72,0.19,1,10,2,92,11,0.91,4.24,2,0,11,0,1.1,6.69,39,3,1,1,0,9,1,10,1,36,7,4,7,4,14,8,0.571,0
Chelsea Townsend,3.04,7.89,0.39,2,6,5,70,8,0.74,2.33,0,0,11,0,1.13,5.37,32,8,2,1,0,5,2,6,2,36,5,3,7,3,12,6,0.542,0
Sebastian Noel,2.1,10.72,0.2,0,6,5,78,9,0.66,2.07,0,0,11,0,0.86,4.17,36,6,3,1,1,7,0,8,1,36,7,1,7,5,14,6,0.464,1
Kellyn Bechtold,1.65,9.39,0.18,0,6,4,78,10,0.59,2.1,0,0,11,0,0.77,3.75,35,7,4,1,0,6,1,7,1,36,6,1,7,3,13,4,0.346,1
Angela Perkins,1.89,12.39,0.15,2,4,3,79,9,0.44,1.78,0,0,11,0,0.59,3.67,38,4,5,1,0,9,1,10,1,36,6,3,7,3,13,6,0.5,1
Jenna Bowman,0.64,5.89,0.11,1,5,3,74,8,0.62,2.5,2,0,11,0,0.73,3.14,29,10,3,0,0,4,0,4,0,36,5,1,7,2,12,3,0.292,1
James Lim,0.5,1.02,0.49,0,3,6,30,4,0.7,2.1,1,0,11,0,1.19,2.6,17,15,1,0,0,0,0,0,0,36,2,2,6,2,8,4,0.5,0
Libby Vincek,1.02,3.69,0.28,0,4,8,55,6,0.64,1.56,2,0,11,0,0.92,2.57,25,12,2,0,0,2,0,2,0,36,4,4,7,2,11,6,0.591,0
